Run 1,148,130,204,241
Run 2,167,112,222,241
Run 3,129,130,204,259
Run 4,166,111,185,222
Run 5,167,111,204,240
Run 6,130,111,204,222
Run 7,148,111,167,259
Run 8,166,111,166,204
Run 9,167,111,185,222
Run 10,166,111,185,223
Average,155.4,114.9,192.6,233.3
