Run 1,194,162,260,294
Run 2,187,159,250,290
Run 3,185,169,254,365
Run 4,221,155,312,292
Run 5,214,132,251,293
Run 6,188,143,211,283
Run 7,184,146,250,292
Run 8,180,156,243,697
Run 9,210,156,241,289
Run 10,211,147,278,284
Average,197.4,152.5,255,337.9
